@jonoread wish came true! #awful	sadness
This wind don't let me sleep #scared	fear
Just woke up as getting ready for America and will be leaving at 7 #happy	joy
"In order to have an adult faith, most of us have to outgrow and unlearn much of what we were taught about religion.
-Kathleen Norris #faith"	trust
Things have been perfect lately. #happy	joy
Dublin airport a mess again today. 1hr20 sitting on ground waiting to take off. Tourists commenting how pathetic @DublinAirport is #shameful	sadness
It's just so great to have baseball back. #happy	joy
@brianstelter @JoyAnnReid 👏🏾 Kudos to Joy. Didn't Bruce Lavell try the same tactic with @VictorBlackwell earlier today... #shameful	sadness
You make me sick to the very bottom of my stomach. #Disgusted	disgust
done trying to please people #doingme #happy	joy
@George_Huxley @micksthename @Robbristow77 @DavidWPWW @GoldingBF PMSL. You believe what you want, you will anyway. #pathetic	sadness
The girls in pender county...they just NASTY. #Disgusted	disgust
After 10 years of living in different cities, my BFF and me will be reunited! I'm going to University in here city! #happy	joy
Just got done talking to my mom about her horrible experience with @AmericanAir. They made her miss 1.5 days of her vacation.  #horrible	fear
Out Of School Early For The Last 3Days #Happy	joy
stay positive. the way forward....#happy	joy
@loujnicholls That might have been me too - still very dry here in West Kent. #sorry	sadness
Soo happy, from today everything's ok :) #happy	joy
By a long stretch the most consistently blatant one-eyed displays by an official I've seen in 30 years as a spectator @PRO12rugby #shameful	sadness
Feel so relived now my room is spotless #cleanfreak #happy	joy
Nothing beats the tradition of getting pjs on Christmas eve #FeelingLikeAKidAgain #happy	joy
"He's not with us. On behalf of all true Canadians, I apologize. 
#sorry 🇨🇦"	sadness
Wow #MarriageBootCamp is gonna be crazy good this season! #cantwait	anticipation
Listening to Sayang Kinabalu with @fatinlamin Jeera, Dhia! Hahaha :)))) #happy	joy
43. what's y'all favorite song on the lemonade album and don't say no damn #Sorry 😂😂	sadness
We live in a really fucked up world. Watching the news has just proved it! #Angry	anger
Awh, Gatsby was so good and so much like the book. #surprised ☺	surprise
@VicTafur @E_Geerlings @RAIDERS @derekcarrqb Jeff George? Just threw up #PATHETIC	sadness
Chill out time now.. #beautifulday #happy	joy
@skilletmusic @johnlcooper thank you 4 tonight the show was awesome you guys rock 😍 #happy	joy
"@madisonpettis favorited 2 of my tweets &amp; followed me 😊😜 
#happy"	joy
@FlipprCPPS Oh my god, I'm very sad. I was is the Piza Parlor for the mascot meet-up and a moderator banned me forever for no reason. #Sadly	sadness
Finally, Got me a north face(: #happy	joy
And now I'm lying in bed watching titanic ☺️ #happy	joy
OMMMMMMMFFFFFFFFGGGGGG Mark tryna get stabbed! I give zero fucks about this weather! #angry	anger
@PeninsulaQatar as well it should ... #shameful	sadness
@MikeFromWoburn Wouldn't it be nice to see him with Bergeron and Seguin ... #Gross	disgust
what sick person throws acid at womens faces? this is horrific #angry	anger
Am at the Victoria secret store at Lenox there is more guys than girls soooooo many gay guys #scared	fear
@SexualGif @Elizaaaaarenee ur not eating steak if walks off #gross	disgust
"""You touch my hair I will kill you."" Maxine is amazing. 😂 #Conviction"	trust
Glad everything worked out 😊 #happy	joy
The fact that he knows what you like because he's observed you made Christmas a little more special #Happy	joy
I'm scared, something feels like it is terribly wrong. I'm trapped in an anxious bubble with only my twist thoughts for company. #anxiety	fear
Uh-oh...i can hear gusts of strong winds and heavy rain here in the breakroom #scared	fear
#AllThatMattersMusicVideo READY FOR ALL THAT MATTERS MUSIC VIDEO ? @justinbieber  We're ready for all that matters !! , I'm anxious #Happy	joy
This day. Such a good day. 😄 #happy	joy
World history &amp; there takin a test on yesterdays stuff &amp; I missed yesterday so nap time #ayeee #happy	joy
Sitting back and hoping for a positive outcome. #faith	trust
"Pissed! My ""scratch proof"" screen protector now has a scratch on it! #ugh #lies #angry"	anger
@PiercedSkull @makeoutartist11 Trump only seems to be snorting up for the debates when he wants to be sharp but it's not working #Pathetic	sadness
"I smile so much more without braces
#happy"	joy
"@oaikomo @fisobzy01 most homo sapiens,especially religious folks give(tithes,seeds etc) cus they are expecting something in return
#pathetic"	sadness
Hope they take a looonng time calling me back there #nervous	fear
@CastilleJoshua 3rd grade - My mom woke us up at 5am on the first day of mid winter break to announce that we were going to Disney #surprise	surprise
I really might have to bench Calvin Johnson real shit #Disgusted	disgust
@NPR Example of @mike_pence morals &amp; giving Daesh what they want. #Shameful	sadness
I love getting compliments on my mustang #happy	joy
@PaulTomBlog yeah but compared to polls earlier these early results seem higher than I was expecting them to be #surprised	surprise
Only 13 days into summer #happy	joy
"@greateranglia have the moooved yet? Udderly shocking!
#sorry"	sadness
I have not heard a single song from Beyoncé's new album. But I'm also not American and rather busy so that's probably why #sorry	sadness
I wouldn't be sad if I never saw another cricket. #GROSS	disgust
So uhh yeah. I like talking to you till you fall asleep(: #happy	joy
Yay! Back to what I expected #HAPPY	joy
"""Our faith in Jesus will change our perspective on what fear is and how it impacts us."" Amen @garrisonkendall! @creekwoodchurch #fear"	fear
Whatever is for you, is for you, no need for you to worry #faith	trust
Gloomy day in Charlotte but my future shines bright .....#happy	joy
what is bonnie wearing?! #unitedkingdom #esc but very nice song #surprised	surprise
@CarbonellNestor that one time I was new to Twitter &amp; kept post/erase/repost till it was right &amp; 🚫know u'd get ALL the notifications. #sorry	sadness
I missed the football league show last night 👊💔 #disgusted	disgust
@bhill2014 @moirabrenna its a mutual thing #sadly	sadness
Having dreams where I'm back in high school...#scary	fear
I have no words. Just an emotion. #happy	joy
